,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Cornel Cernea,1,0,0,0,0,90,0,0,0,0,0,0
Cornel Râpă,2,0,4,4,0,180,1,0,0,0,0,0
Cosmin Moţi,3,1,4,1,0,270,1,0,0,0,0,0
Costel Pantilimon,1,0,0,0,0,90,0,0,0,0,0,0
Coutinho,5,1,5,5,0,450,0,0,0,0,0,0
Craig Bellamy,2,0,2,2,0,180,1,0,0,0,0,0
Cris,17,3,19,18,0,1530,0,0,0,0,0,0
Cristian Ansaldi,9,1,20,11,0,810,1,0,0,0,0,0
Cristian Brocchi,3,1,4,3,0,270,0,0,0,0,0,0
Cristian Chivu,18,2,25,24,0,1620,0,0,0,0,0,0
Cristian Ledesma,8,0,13,7,0,720,0,0,0,0,0,0
Cristian Molinaro,5,0,3,6,0,450,1,0,0,0,0,0
Cristian Panin,4,0,10,1,0,360,0,0,0,0,0,0
Cristian Rodríguez,10,1,11,27,0,900,4,0,0,0,0,0
Cristian Sârghi,1,0,4,0,0,90,1,0,0,0,0,0
Cristian Săpunaru,6,1,13,6,0,540,0,0,0,0,0,0
Cristian Tello,4,1,1,3,0,360,7,0,0,0,0,0
Cristian Tănase,3,0,10,6,0,270,0,0,0,0,0,0
Cristian Zaccardo,1,0,1,4,0,90,0,0,0,0,0,0
Cristiano Lucarelli,3,0,3,7,0,270,1,0,0,0,0,0
Cristiano Ronaldo,46,14,35,106,0,4140,26,0,0,0,0,0
Cristiano Zanetti,5,1,8,7,0,450,0,0,0,0,0,0
Cristián Zapata,7,2,3,9,0,630,0,0,0,0,0,0
Curro Torres,1,1,2,0,0,90,0,0,0,0,0,0
Custódio,3,0,3,3,0,270,0,0,0,0,0,0
Cyriac,1,0,3,4,0,90,0,0,0,0,0,0
Cyril Théréau,1,0,3,1,0,90,0,0,0,0,0,0
Cédric,3,0,5,2,0,270,0,0,0,0,0,0
Cédric Bardon,4,0,2,8,0,360,0,0,0,0,0,0
Cédric Carrasso,5,0,0,1,0,450,0,0,0,0,0,0
Cédric Hengbart,3,0,0,5,0,270,1,0,0,0,0,0
Cédric Kanté,1,0,0,0,0,90,0,0,0,0,0,0
César,1,0,0,1,0,90,0,0,0,0,0,0
César Azpilicueta,12,1,17,12,0,1080,0,0,0,0,0,0
César Delgado,5,0,3,11,0,450,2,0,0,0,0,0
César Navas,6,0,11,5,0,540,0,0,0,0,0,0
César Peixoto,2,0,1,5,0,180,2,0,0,0,0,0
César Santin,2,0,5,2,0,180,1,0,0,0,0,0
César Sánchez,2,0,0,3,0,180,0,0,0,0,0,0
Dacian Varga,3,0,7,5,0,270,2,0,0,0,0,0
Daley Blind,7,0,7,4,0,630,0,0,0,0,0,0
Dame N'Doye,4,0,11,9,0,360,0,0,0,0,0,0
Damjan Bohar,1,0,1,2,0,90,0,0,0,0,0,0
Dani,3,0,4,3,0,270,1,0,0,0,0,0
Dani Abalo,3,0,2,7,0,270,1,0,0,0,0,0
Dani Alves,37,9,88,60,0,3330,10,0,0,0,0,0
Dani Bondarv,3,0,3,1,0,270,0,0,0,0,0,0
Dani Carvajal,6,1,8,5,0,540,0,0,0,0,0,0
Dani Estrada,1,0,0,2,0,90,0,0,0,0,0,0
Daniel Agger,9,0,4,7,0,810,0,0,0,0,0,0
Daniel Aranzubia,1,0,1,1,0,90,0,0,0,0,0,0
Daniel Borimirov,3,0,7,5,0,270,0,0,0,0,0,0
Daniel Braaten,2,0,9,2,0,180,1,0,0,0,0,0
Daniel Carriço,1,0,1,0,0,90,0,0,0,0,0,0
Daniel Carvalho,4,2,5,12,0,360,5,0,0,0,0,0
Daniel Congré,1,0,1,0,0,90,0,0,0,0,0,0
Daniel Cousin,2,0,3,4,0,180,2,0,0,0,0,0
Daniel Georgievski,2,0,3,0,0,180,0,0,0,0,0,0
Daniel Güiza,3,0,2,4,0,270,4,0,0,0,0,0
Daniel Jensen,6,2,17,14,0,540,0,0,0,0,0,0
Daniel Kolář,6,0,7,12,0,540,4,0,0,0,0,0
Daniel Oprita,1,0,1,0,0,90,0,0,0,0,0,0
Daniel Parejo,2,0,2,2,0,180,0,0,0,0,0,0
Daniel Pudil,5,0,12,7,0,450,1,0,0,0,0,0
Daniel Royer,2,0,1,9,0,180,0,0,0,0,0,0
Daniel Schwaab,2,0,3,1,0,180,0,0,0,0,0,0
Daniel Sturridge,4,0,2,5,0,360,2,0,0,0,0,0
Daniel Van Buyten,22,1,19,21,0,1980,1,0,0,0,0,0
Daniel Zítka,3,0,0,1,0,270,0,0,0,0,0,0
Daniele Bonera,12,0,21,12,0,1080,0,0,0,0,0,0
Daniele De Rossi,16,2,14,23,0,1440,1,0,0,0,0,0
Danijel Ljuboja,3,0,1,1,0,270,3,0,0,0,0,0
Danijel Pranjić,6,0,6,7,0,540,0,0,0,0,0,0
Danijel Subašić,5,0,0,0,0,450,0,0,0,0,0,0
Danilo,11,1,3,5,0,990,1,0,0,0,0,0
Danilo Silva,2,0,1,0,0,180,0,0,0,0,0,0
Danko Lazović,4,0,5,12,0,360,3,0,0,0,0,0
Danny,12,0,8,26,0,1080,7,0,0,0,0,0
Danny Hoesen,1,0,2,1,0,90,1,0,0,0,0,0
Danny Koevermans,3,0,2,1,0,270,4,0,0,0,0,0
Danny Simpson,1,0,2,0,0,90,0,0,0,0,0,0
Danny Welbeck,9,1,7,13,0,810,3,0,0,0,0,0
Danny Wilson,1,0,0,0,0,90,0,0,0,0,0,0
Dante,11,2,12,6,0,990,1,0,0,0,0,0
Dany Nounkeu,6,1,7,3,0,540,0,0,0,0,0,0
Dare Vršič,1,0,0,3,0,90,0,0,0,0,0,0
Darijo Srna,26,5,40,65,0,2340,2,0,0,0,0,0
Dario Dainelli,6,0,10,12,0,540,0,0,0,0,0,0
Dario Šimić,4,0,2,4,0,360,0,0,0,0,0,0
Dariusz Dudka,3,0,3,1,0,270,0,0,0,0,0,0
Darko Kovačević,3,1,11,8,0,270,7,0,0,0,0,0
Darren Fletcher,18,1,36,22,0,1620,1,0,0,0,0,0
Darren O'Dea,1,0,1,1,0,90,0,0,0,0,0,0
Darron Gibson,5,1,4,1,0,450,0,0,0,0,0,0
Darío Rodríguez,1,0,1,2,0,90,0,0,0,0,0,0
David Abraham,9,0,6,5,0,810,0,0,0,0,0,0
David Alaba,17,5,9,8,0,1530,0,0,0,0,0,0
David Albelda,10,0,21,10,0,900,0,0,0,0,0,0
David Beckham,3,0,6,4,0,270,0,0,0,0,0,0
David Bellion,1,0,0,0,0,90,1,0,0,0,0,0
David Bystroň,3,0,1,2,0,270,0,0,0,0,0,0
David Fuster,7,2,11,11,0,630,2,0,0,0,0,0
David Hubert,1,0,4,2,0,90,0,0,0,0,0,0
David Hubáček,2,0,1,0,0,180,0,0,0,0,0,0
David Jarolím,2,1,3,10,0,180,1,0,0,0,0,0
David Jemmali,2,0,4,3,0,180,0,0,0,0,0,0
David Limberský,5,0,11,2,0,450,0,0,0,0,0,0
David Luiz,20,1,35,24,0,1800,0,0,0,0,0,0
David Mendes,3,0,4,0,0,270,0,0,0,0,0,0
David Navarro,4,0,6,3,0,360,0,0,0,0,0,0
David Ngog,1,0,4,0,0,90,1,0,0,0,0,0
David Ospina,1,0,0,0,0,90,0,0,0,0,0,0
David Pizarro,10,2,12,23,0,900,0,0,0,0,0,0
David Rozehnal,1,1,2,0,0,90,0,0,0,0,0,0
David Silva,14,3,18,25,0,1260,0,0,0,0,0,0
David Trezeguet,4,1,7,3,0,360,2,0,0,0,0,0
David Villa,22,3,25,25,0,1980,26,0,0,0,0,0
David Weir,9,0,10,5,0,810,0,0,0,0,0,0
David Zurutuza,1,0,1,2,0,90,0,0,0,0,0,0
David de Gea,12,1,0,1,0,1080,0,0,0,0,0,0
Davide Astori,1,0,3,0,0,90,0,0,0,0,0,0
Davide Santon,1,0,0,4,0,90,0,0,0,0,0,0
Davy Klaassen,5,1,11,7,0,450,1,0,0,0,0,0
Dawid Janczyk,1,0,2,3,0,90,4,0,0,0,0,0
Dayro Moreno,3,0,3,6,0,270,5,0,0,0,0,0
De Sousa,3,0,3,0,0,270,0,0,0,0,0,0
Deco,11,2,23,31,0,990,2,0,0,0,0,0
Dedi Ben-Dayan,3,0,1,2,0,270,2,0,0,0,0,0
Deivid,5,0,8,6,0,450,1,0,0,0,0,0
Deividas Šemberas,9,1,12,13,0,810,0,0,0,0,0,0
Dejan Lovren,8,0,9,4,0,720,0,0,0,0,0,0
Dejan Stanković,21,1,47,24,0,1890,2,0,0,0,0,0
Dekel Keinan,3,0,0,1,0,270,0,0,0,0,0,0
Delvin N'Dinga,6,0,8,6,0,540,0,0,0,0,0,0
Demba Ba,1,0,1,1,0,90,2,0,0,0,0,0
Demy de Zeeuw,3,1,4,7,0,270,0,0,0,0,0,0
Denilson,8,0,12,21,0,720,1,0,0,0,0,0
Denis Boyarintsev,2,0,2,1,0,180,3,0,0,0,0,0
Denis Polyakov,5,0,5,0,0,450,0,0,0,0,0,0
Deniz Barış,2,0,4,7,0,180,0,0,0,0,0,0
Dennis Aogo,6,1,5,7,0,540,1,0,0,0,0,0
Dennis Oliech,2,0,5,3,0,180,1,0,0,0,0,0
Dennis Praet,8,2,7,8,0,720,2,0,0,0,0,0
Denny Landzaat,2,0,1,2,0,180,1,0,0,0,0,0
Denys Garmash,1,0,3,2,0,90,1,0,0,0,0,0
Derk Boerrigter,5,0,7,3,0,450,2,0,0,0,0,0
Derlei,2,0,4,5,0,180,2,0,0,0,0,0
Derley,2,1,3,4,0,180,0,0,0,0,0,0
Derlis González,3,0,4,4,0,270,2,0,0,0,0,0
Dida,10,0,0,1,0,900,1,0,0,0,0,0
Didier Domi,3,0,5,0,0,270,0,0,0,0,0,0
Didier Drogba,29,8,70,67,0,2610,33,0,0,0,0,0
Didier Zokora,7,0,18,15,0,630,0,0,0,0,0,0
Diego,10,2,9,46,0,900,3,0,0,0,0,0
Diego Alves,3,0,0,1,0,270,0,0,0,0,0,0
Diego Benaglio,3,0,0,0,0,270,0,0,0,0,0,0
Diego Buonanotte,1,1,1,4,0,90,1,0,0,0,0,0
Diego Capel,6,1,6,21,0,540,0,0,0,0,0,0
Diego Cavalieri,1,0,0,0,0,90,0,0,0,0,0,0
Diego Contento,6,1,4,15,0,540,0,0,0,0,0,0
Diego Costa,6,2,13,15,0,540,3,0,0,0,0,0
Diego Forlán,7,1,4,6,0,630,3,0,0,0,0,0
Diego Godín,12,0,8,19,0,1080,2,0,0,0,0,0
Diego Lugano,6,0,8,7,0,540,0,0,0,0,0,0
Diego López,11,0,0,0,0,990,0,0,0,0,0,0
Diego Milito,9,2,5,13,0,810,24,0,0,0,0,0
Diego Perotti,1,0,1,2,0,90,0,0,0,0,0,0
Dieumerci Mbokani,6,1,12,21,0,540,11,0,0,0,0,0
Dimitar Berbatov,10,2,17,15,0,900,12,0,0,0,0,0
Dimitar Ivankov,2,0,0,0,0,180,0,0,0,0,0,0
Dimitar Telkiyski,2,0,0,2,0,180,1,0,0,0,0,0
Dimitri Payet,5,1,6,8,0,450,1,0,0,0,0,0
Dimitris Salpingidis,3,0,4,3,0,270,5,0,0,0,0,0
Dimitris Siovas,4,0,3,0,0,360,0,0,0,0,0,0
Diniyar Bilyaletdinov,1,0,1,0,0,90,0,0,0,0,0,0
Diogo,1,0,2,3,0,90,0,0,0,0,0,0
Diogo Rincón,5,1,6,3,0,450,0,0,0,0,0,0
Dionisios Chiotis,6,0,1,1,0,540,0,0,0,0,0,0
Dirk Kuyt,16,4,24,17,0,1440,14,0,0,0,0,0
Dirk Marcellis,5,0,9,2,0,450,0,0,0,0,0,0
Djalma,1,0,0,2,0,90,0,0,0,0,0,0
Djamel Abdoun,4,0,9,7,0,360,4,0,0,0,0,0
Djamel Mesbah,1,0,3,0,0,90,0,0,0,0,0,0
Djibril Cissé,5,1,7,5,0,450,6,0,0,0,0,0
Djibril Sidibé,1,0,5,0,0,90,0,0,0,0,0,0
Djimi Traoré,1,0,0,1,0,90,0,0,0,0,0,0
Dmitri Baga,4,0,5,7,0,360,0,0,0,0,0,0
Dmitri Kombarov,6,1,8,8,0,540,1,0,0,0,0,0
Dmitri Likhtarovich,7,0,8,6,0,630,0,0,0,0,0,0
Dmytro Chygrynskiy,11,0,21,3,0,990,1,0,0,0,0,0
Domagoj Vida,6,0,8,11,0,540,0,0,0,0,0,0
Domenico Criscito,11,0,20,20,0,990,2,0,0,0,0,0
Dominik Schmidt,1,0,4,0,0,90,0,0,0,0,0,0
Dominique Kivuvu,1,0,1,0,0,90,0,0,0,0,0,0
Doni,15,0,0,4,0,1350,0,0,0,0,0,0
Dorin Goian,7,0,11,4,0,630,0,0,0,0,0,0
Douglas,6,0,4,5,0,540,0,0,0,0,0,0
Douglas Costa,12,2,16,11,0,1080,4,0,0,0,0,0
Douglão,1,0,1,1,0,90,0,0,0,0,0,0
Dries Mertens,2,1,5,1,0,180,1,0,0,0,0,0
Drissa Diakité,1,0,1,0,0,90,0,0,0,0,0,0
Duda,1,0,1,2,0,90,0,0,0,0,0,0
Dudu,10,1,30,29,0,900,4,0,0,0,0,0
Dugary Ndabashinze,2,1,6,1,0,180,0,0,0,0,0,0
Duje Čop,3,0,5,2,0,270,3,0,0,0,0,0
Dušan Djurić,1,0,0,0,0,90,0,0,0,0,0,0
Duško Tošić,1,0,2,1,0,90,0,0,0,0,0,0
Dwight Tiendalli,3,0,9,2,0,270,0,0,0,0,0,0
Dániel Tőzsér,6,0,7,2,0,540,0,0,0,0,0,0
Edcarlos,1,0,0,0,0,90,0,0,0,0,0,0
Eden Hazard,14,3,7,53,0,1260,1,0,0,0,0,0
Ederson,5,0,13,19,0,450,0,0,0,0,0,0
Edgar Olekhnovich,5,1,6,5,0,450,1,0,0,0,0,0
Edimar,1,0,0,0,0,90,0,0,0,0,0,0
Edin Džeko,12,2,13,25,0,1080,10,0,0,0,0,0
Edinson Cavani,13,2,9,15,0,1170,9,0,0,0,0,0
Edison Méndez,11,1,22,12,0,990,1,0,0,0,0,0
Edmílson,1,0,0,2,0,90,0,0,0,0,0,0
Edson Braafheid,2,0,1,4,0,180,0,0,0,0,0,0
Edu,5,0,11,10,0,450,0,0,0,0,0,0
Edu Dracena,8,0,10,3,0,720,0,0,0,0,0,0
Eduard Stăncioiu,5,0,0,1,0,450,0,0,0,0,0,0
Eduardo,4,0,8,6,0,360,1,0,0,0,0,0
Eduardo Rubio,1,0,3,1,0,90,0,0,0,0,0,0
Eduardo Salvio,6,0,5,10,0,540,1,0,0,0,0,0
Edwin van der Sar,22,0,0,6,0,1980,0,0,0,0,0,0
Efe Ambrose,6,0,3,7,0,540,0,0,0,0,0,0
Eidur Gudjohnsen,3,0,2,3,0,270,2,0,0,0,0,0
Ekrem Dağ,3,0,1,2,0,270,0,0,0,0,0,0
Elano,1,0,0,2,0,90,0,0,0,0,0,0
Elderson,4,0,6,2,0,360,1,0,0,0,0,0
Eliaquim Mangala,9,2,18,2,0,810,0,0,0,0,0,0
Elin Topuzakov,3,0,1,2,0,270,0,0,0,0,0,0
Elinton Andrade,1,0,0,0,0,90,0,0,0,0,0,0
Eliseu,4,1,7,5,0,360,0,0,0,0,0,0
Elvir Rahimić,8,0,14,8,0,720,0,0,0,0,0,0
Emanuel Herrera,1,0,1,0,0,90,2,0,0,0,0,0
Emerson,9,0,16,6,0,810,0,0,0,0,0,0
Emil Dică,3,0,6,2,0,270,1,0,0,0,0,0
Emil Forsberg,3,0,5,8,0,270,0,0,0,0,0,0
Emil Rilke,1,0,1,2,0,90,1,0,0,0,0,0
Emiliano Insua,4,1,3,4,0,360,0,0,0,0,0,0
Emiliano Martínez,1,0,0,0,0,90,0,0,0,0,0,0
Emiliano Moretti,6,1,7,9,0,540,0,0,0,0,0,0
Emilio Izaguirre,6,0,8,5,0,540,0,0,0,0,0,0
Emilson Cribari,2,0,4,3,0,180,0,0,0,0,0,0
Emir Dilaver,2,0,2,2,0,180,0,0,0,0,0,0
Emir Spahić,7,0,12,5,0,630,1,0,0,0,0,0
Emmanuel Adebayor,9,1,19,4,0,810,22,0,0,0,0,0
Emmanuel Eboué,20,5,17,29,0,1800,1,0,0,0,0,0
Emmanuel Emenike,2,0,1,3,0,180,1,0,0,0,0,0
Emmanuel Frimpong,1,0,4,0,0,90,0,0,0,0,0,0
Emmanuel Koné,1,0,1,0,0,90,1,0,0,0,0,0
Emre Aşık,1,0,1,0,0,90,0,0,0,0,0,0
Emre Belözoğlu,2,0,2,5,0,180,0,0,0,0,0,0
Emre Can,2,1,7,4,0,180,0,0,0,0,0,0
Emre Çolak,2,0,2,7,0,180,0,0,0,0,0,0
Engin Baytar,1,0,0,2,0,90,0,0,0,0,0,0
Enoch Kofi Adu,6,0,9,3,0,540,0,0,0,0,0,0
Enzo Maresca,3,0,2,7,0,270,1,0,0,0,0,0
Enzo Pérez,8,0,10,27,0,720,0,0,0,0,0,0
Epaminonda Nicu,1,0,2,2,0,90,0,0,0,0,0,0
Eran Zahavi,3,0,3,0,0,270,1,0,0,0,0,0
Eren Derdiyok,2,0,1,1,0,180,0,0,0,0,0,0
Ergün Penbe,1,0,1,0,0,90,0,0,0,0,0,0
Eric Addo,3,0,5,2,0,270,0,0,0,0,0,0
Eric Hassli,1,0,3,0,0,90,1,0,0,0,0,0
Eric Maxim Choupo-Moting,3,0,2,1,0,270,0,0,0,0,0,0
Erich Brabec,3,0,3,4,0,270,0,0,0,0,0,0
Erik Durm,6,1,2,4,0,540,1,0,0,0,0,0
Erik Johansson,3,0,2,1,0,270,0,0,0,0,0,0
Erik Pieters,1,0,1,2,0,90,0,0,0,0,0,0
Ersin Mehmedović,1,0,0,0,0,90,0,0,0,0,0,0
Esteban Cambiasso,20,2,21,16,0,1800,1,0,0,0,0,0
Esteban Granero,4,0,5,4,0,360,0,0,0,0,0,0
Esteban Solari,1,0,1,2,0,90,1,0,0,0,0,0
Etey Shechter,2,0,3,3,0,180,6,0,0,0,0,0
Eugen Baciu,2,0,3,3,0,180,0,0,0,0,0,0
Eugen Trică,2,0,5,4,0,180,0,0,0,0,0,0
Evander Sno,3,0,7,2,0,270,0,0,0,0,0,0
Evandro,2,0,0,5,0,180,0,0,0,0,0,0
Evgeni Aldonin,10,2,14,9,0,900,0,0,0,0,0,0
Evgeni Makeev,6,1,4,9,0,540,0,0,0,0,0,0
Evgeni Yablonski,3,0,6,3,0,270,0,0,0,0,0,0
Eyal Golasa,2,0,3,2,0,180,0,0,0,0,0,0
Eyal Meshumar,3,0,4,1,0,270,0,0,0,0,0,0
Eyong Enoh,6,0,16,6,0,540,0,0,0,0,0,0
Ezequias,1,0,1,2,0,90,0,0,0,0,0,0
Ezequiel Garay,13,0,7,5,0,1170,0,0,0,0,0,0
Ezequiel Lavezzi,17,4,18,45,0,1530,18,0,0,0,0,0
Eñaut Zubikarai,1,0,0,0,0,90,0,0,0,0,0,0
Fabian Ernst,6,0,11,10,0,540,0,0,0,0,0,0
Fabian Frei,12,3,10,8,0,1080,2,0,0,0,0,0
Fabian Koch,1,0,2,1,0,90,0,0,0,0,0,0
Fabian Schär,6,1,19,11,0,540,0,0,0,0,0,0
Fabiano,4,0,0,0,0,360,0,0,0,0,0,0
Fabien Camus,2,1,1,1,0,180,2,0,0,0,0,0
Fabinho,5,0,7,6,0,450,0,0,0,0,0,0
Fabio,6,0,13,3,0,540,0,0,0,0,0,0
Fabio Cannavaro,14,1,25,20,0,1260,0,0,0,0,0,0
Fabio Grosso,12,0,27,12,0,1080,4,0,0,0,0,0
Fabio Quagliarella,3,1,4,3,0,270,5,0,0,0,0,0
Fabrice Abriel,3,0,1,2,0,270,2,0,0,0,0,0
Fabrice N'Sakala,3,1,7,3,0,270,0,0,0,0,0,0
Fabricio Fuentes,3,0,5,3,0,270,0,0,0,0,0,0
Fabrizio Miccoli,2,0,1,2,0,180,4,0,0,0,0,0
Facundo Ferreyra,1,0,1,0,0,90,1,0,0,0,0,0
Fanendo Adi,1,0,2,2,0,90,2,0,0,0,0,0
Faryd Mondragón,3,0,0,1,0,270,0,0,0,0,0,0
Fatih Tekke,1,0,1,1,0,90,3,0,0,0,0,0
Fatos Bećiraj,3,0,7,4,0,270,1,0,0,0,0,0
Federico Almerares,1,0,2,3,0,90,0,0,0,0,0,0
Federico Fazio,2,0,2,1,0,180,0,0,0,0,0,0
Federico Fernández,2,0,2,2,0,180,0,0,0,0,0,0
Federico Insúa,3,0,2,2,0,270,0,0,0,0,0,0
Federico Macheda,3,0,8,1,0,270,3,0,0,0,0,0
Federico Peluso,1,0,3,0,0,90,0,0,0,0,0,0
Federico Piovaccari,3,0,7,7,0,270,4,0,0,0,0,0
Felice Piccolo,3,0,0,3,0,270,0,0,0,0,0,0
Felipe,6,0,4,2,0,540,0,0,0,0,0,0
Felipe Melo,18,0,46,33,0,1620,1,0,0,0,0,0
Felipe Santana,7,1,6,3,0,630,0,0,0,0,0,0
Ferhat Öztorun,1,0,4,3,0,90,0,0,0,0,0,0
Fernandinho,20,1,41,27,0,1800,3,0,0,0,0,0
Fernando,34,2,52,31,0,3060,3,0,0,0,0,0
Fernando Belluschi,2,0,2,2,0,180,1,0,0,0,0,0
Fernando Cavenaghi,1,0,0,0,0,90,0,0,0,0,0,0
Fernando Gago,10,1,15,16,0,900,0,0,0,0,0,0
Fernando Llorente,4,0,7,8,0,360,4,0,0,0,0,0
Fernando Meira,3,0,2,0,0,270,0,0,0,0,0,0
Fernando Morientes,7,0,10,12,0,630,3,0,0,0,0,0
Fernando Muslera,11,0,0,4,0,990,0,0,0,0,0,0
Fernando Navarro,4,0,3,5,0,360,0,0,0,0,0,0
Fernando Torres,18,3,38,29,0,1620,23,0,0,0,0,0
Filip Djuričić,1,0,7,3,0,90,1,0,0,0,0,0
Filip Helander,3,0,5,2,0,270,0,0,0,0,0,0
Filip Hološko,1,0,0,1,0,90,2,0,0,0,0,0
Filip Mladenović,3,0,2,1,0,270,1,0,0,0,0,0
Filipe Luís,8,0,6,5,0,720,2,0,0,0,0,0
Filipp Rudik,1,0,1,0,0,90,0,0,0,0,0,0
Filippo Inzaghi,9,0,12,8,0,810,22,0,0,0,0,0
Florent Balmont,6,1,13,22,0,540,2,0,0,0,0,0
Florent Malouda,16,3,40,41,0,1440,12,0,0,0,0,0
Florent Sinama Pongolle,3,0,1,2,0,270,2,0,0,0,0,0
Florian Mader,3,1,4,5,0,270,0,0,0,0,0,0
Florian Stahel,2,0,4,4,0,180,0,0,0,0,0,0
Florian Thauvin,1,0,2,2,0,90,0,0,0,0,0,0
Florin Cernat,1,0,2,1,0,90,0,0,0,0,0,0
Florin Gardoş,3,0,2,5,0,270,0,0,0,0,0,0
Florin Lovin,6,0,15,12,0,540,0,0,0,0,0,0
Francesco Acerbi,1,0,0,4,0,90,1,0,0,0,0,0
Francesco Toldo,1,0,0,0,0,90,0,0,0,0,0,0
Francesco Totti,17,4,27,46,0,1530,17,0,0,0,0,0
Francis Coquelin,3,0,6,6,0,270,0,0,0,0,0,0
Francisco Portillo,2,0,2,2,0,180,0,0,0,0,0,0
Francisco Rodríguez,1,0,1,1,0,90,0,0,0,0,0,0
Francisco Yeste,1,0,1,0,0,90,0,0,0,0,0,0
Franck Béria,5,0,12,4,0,450,0,0,0,0,0,0
Franck Jurietti,6,0,8,14,0,540,0,0,0,0,0,0
Franck Ribéry,30,10,44,88,0,2700,8,0,0,0,0,0
Franco Costanzo,8,0,0,0,0,720,0,0,0,0,0,0
Frank Acheampong,2,0,2,5,0,180,0,0,0,0,0,0
Frank Baumann,3,0,15,3,0,270,1,0,0,0,0,0
Frank Lampard,31,11,39,33,0,2790,7,0,0,0,0,0
František Dříždal,2,1,1,2,0,180,0,0,0,0,0,0
František Rajtoral,6,1,3,3,0,540,3,0,0,0,0,0
François Clerc,2,0,1,4,0,180,0,0,0,0,0,0
François Marque,3,0,6,2,0,270,0,0,0,0,0,0
François Modesto,5,0,11,3,0,450,1,0,0,0,0,0
Fraser Forster,7,1,0,0,0,630,0,0,0,0,0,0
Fred,6,0,14,18,0,540,2,0,0,0,0,0
Fredrik Berglund,1,0,2,2,0,90,1,0,0,0,0,0
Fredrik Ljungberg,2,0,4,10,0,180,0,0,0,0,0,0
Fredrik Stoor,1,0,0,1,0,90,0,0,0,0,0,0
Fredy Guarín,1,0,4,0,0,90,0,0,0,0,0,0
Frédéric Kanouté,6,3,6,9,0,540,2,0,0,0,0,0
Frédéric Sammaritano,2,0,1,3,0,180,0,0,0,0,0,0
Fwayo Tembo,1,0,0,4,0,90,0,0,0,0,0,0
Fábio Aurélio,11,2,8,8,0,990,0,0,0,0,0,0
Fábio Coentrão,15,2,17,9,0,1350,2,0,0,0,0,0
Fábio Espinho,3,0,4,2,0,270,0,0,0,0,0,0
Fábio Rochemback,3,0,9,6,0,270,0,0,0,0,0,0
Fábio Santos,2,0,4,6,0,180,0,0,0,0,0,0
Gabi,8,2,13,12,0,720,0,0,0,0,0,0
Gabriel,2,1,3,3,0,180,0,0,0,0,0,0
Gabriel Boştină,2,0,3,4,0,180,0,0,0,0,0,0
Gabriel Giurgiu,3,0,5,4,0,270,1,0,0,0,0,0
Gabriel Heinze,13,1,12,28,0,1170,1,0,0,0,0,0
Gabriel Milito,6,0,8,1,0,540,0,0,0,0,0,0
Gabriel Mureşan,7,0,16,3,0,630,0,0,0,0,0,0
Gabriel Obertan,3,0,3,2,0,270,0,0,0,0,0,0
Gaby Mudingayi,3,1,9,8,0,270,0,0,0,0,0,0
Gareth Bale,11,3,6,17,0,990,3,0,0,0,0,0
Gareth Barry,3,0,8,1,0,270,0,0,0,0,0,0
Garry Bocaly,2,0,2,1,0,180,0,0,0,0,0,0
Gary Cahill,11,0,10,6,0,990,0,0,0,0,0,0
Gary Caldwell,9,1,11,10,0,810,0,0,0,0,0,0
Gary Hooper,2,0,2,5,0,180,0,0,0,0,0,0
