Club (# of participations),92–93,93–94,94–95,95–96,96–97,97–98,98–99,99–00,00–01,01–02,02–03,03–04,04–05,05–06,06–07,07–08,08–09,09–10,10–11,11–12,12–13,13–14,14–15,15–16,16–17
 SPAIN (79),(0),(1),(1),(1),(1),(2),(3),(3),(4),(4),(4),(4),(4),(4),(3),(4),(4),(4),(3),(4),(4),(4),(4),(5),(4)
 Barcelona (21),NP,F,QF,NP,NP,GS,GS,SF,GS,SF,QF,NP,R16,C,R16,SF,C,SF,C,SF,SF,QF,C,QF,TDB
 Real Madrid (21),NP,NP,NP,QF,NP,C,QF,C,SF,C,SF,QF,R16,R16,R16,R16,R16,R16,SF,SF,SF,C,SF,C,TDB
 Valencia (10),NP,NP,NP,NP,NP,NP,NP,F,F,NP,QF,NP,GS,NP,QF,GS,NP,NP,R16,GS,R16,NP,NP,GS,NP
 Atlético Madrid (7),NP,NP,NP,NP,QF,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,GS,NP,NP,NP,F,QF,F,TDB
 Deportivo La Coruña (5),NP,NP,NP,NP,NP,NP,NP,NP,QF,QF,GS2,SF,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Sevilla (4),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,NP,R16,NP,NP,NP,NP,NP,GS,R16
 Villarreal (3),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,SF,NP,NP,QF,NP,NP,GS,NP,NP,NP,NP,NP
 Real Sociedad (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP
 Athletic Bilbao (2),NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP
 Mallorca (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Celta Vigo (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Real Betis (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Málaga (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,QF,NP,NP,NP,NP
 ENGLAND (75),(0),(0),(1),(1),(1),(2),(2),(3),(3),(3),(4),(3),(4),(4),(4),(4),(4),(4),(4),(4),(4),(4),(4),(4),(4)
 Manchester United (20),NP,NP,GS,NP,SF,QF,C,QF,QF,SF,QF,R16,R16,GS,SF,C,F,QF,F,GS,R16,QF,NP,GS,NP
 Arsenal (19),NP,NP,NP,NP,NP,NP,GS,GS,QF,GS2,GS2,QF,R16,F,R16,QF,SF,QF,R16,R16,R16,R16,R16,R16,R16
 Chelsea (14),NP,NP,NP,NP,NP,NP,NP,QF,NP,NP,NP,SF,SF,R16,SF,F,SF,R16,QF,C,GS,SF,R16,R16,NP
 Liverpool (9),NP,NP,NP,NP,NP,NP,NP,NP,NP,QF,GS,NP,C,R16,F,SF,QF,GS,NP,NP,NP,NP,GS,NP,NP
 Manchester City (6),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS,R16,R16,SF,R16
 Newcastle United (2),NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,GS2,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Tottenham Hotspur (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,QF,NP,NP,NP,NP,NP,GS
 Blackburn Rovers (1),NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Leeds United (1),NP,NP,NP,NP,NP,NP,NP,NP,SF,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Leicester City (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,TDB
 ITALY (67),(1),(1),(1),(1),(2),(2),(2),(3),(3),(3),(4),(4),(4),(4),(3),(4),(4),(4),(3),(3),(2),(3),(2),(2),(2)
 Milan (17),F,C,F,NP,GS,NP,NP,GS,GS2,NP,C,QF,F,SF,C,R16,NP,R16,R16,QF,R16,R16,NP,NP,NP
 Juventus (17),NP,NP,NP,C,F,F,SF,NP,GS,GS2,F,R16,QF,QF,NP,NP,R16,GS,NP,NP,QF,GS,F,R16,TDB
 Internazionale (11),NP,NP,NP,NP,NP,NP,QF,NP,NP,NP,SF,GS,QF,QF,R16,R16,R16,C,QF,R16,NP,NP,NP,NP,NP
 Roma (9),NP,NP,NP,NP,NP,NP,NP,NP,NP,GS2,GS2,NP,GS,NP,QF,QF,R16,NP,R16,NP,NP,NP,GS,R16,NP
 Lazio (5),NP,NP,NP,NP,NP,NP,NP,QF,GS2,GS,NP,GS,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Fiorentina (3),NP,NP,NP,NP,NP,NP,NP,GS2,NP,NP,NP,NP,NP,NP,NP,NP,GS,R16,NP,NP,NP,NP,NP,NP,NP
 Napoli (3),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,NP,GS,NP,NP,R16
 Parma (1),NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Udinese (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 GERMANY (67),(0),(1),(1),(1),(1),(3),(2),(4),(3),(4),(3),(2),(3),(3),(3),(3),(2),(3),(3),(3),(3),(4),(4),(4),(4)
 Bayern Munich (20),NP,NP,SF,NP,NP,QF,F,SF,C,QF,GS,R16,QF,R16,QF,NP,QF,F,R16,F,C,SF,SF,SF,TDB
 Borussia Dortmund (11),NP,NP,NP,QF,C,SF,NP,GS,NP,GS,GS2,NP,NP,NP,NP,NP,NP,NP,NP,GS,F,QF,R16,NP,TDB
 Bayer Leverkusen (11),NP,NP,NP,NP,NP,QF,NP,GS,GS,F,GS2,NP,R16,NP,NP,NP,NP,NP,NP,R16,NP,R16,R16,GS,R16
 Werder Bremen (7),NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,R16,GS,GS,GS,NP,GS,NP,NP,NP,NP,NP,NP
 Schalke 04 (7),NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,GS,NP,QF,NP,NP,SF,NP,R16,R16,R16,NP,NP
 Stuttgart (3),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,NP,NP,NP,GS,NP,R16,NP,NP,NP,NP,NP,NP,NP
 Hamburg (2),NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Wolfsburg (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,QF,NP
 Borussia Mönchengladbach (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS
 Kaiserslautern (1),NP,NP,NP,NP,NP,NP,QF,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Hertha BSC (1),NP,NP,NP,NP,NP,NP,NP,GS2,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Club (# of participations),92–93,93–94,94–95,95–96,96–97,97–98,98–99,99–00,00–01,01–02,02–03,03–04,04–05,05–06,06–07,07–08,08–09,09–10,10–11,11–12,12–13,13–14,14–15,15–16,16–17
 FRANCE (56),(1),(1),(1),(1),(1),(2),(1),(2),(3),(3),(3),(3),(3),(2),(3),(2),(3),(3),(3),(3),(3),(2),(2),(2),(3)
 Lyon (14),NP,NP,NP,NP,NP,NP,NP,NP,GS2,GS,GS,QF,QF,QF,R16,R16,R16,SF,R16,R16,NP,NP,NP,GS,GS
 Marseille (9),C,NP,NP,NP,NP,NP,NP,GS2,NP,NP,NP,GS,NP,NP,NP,GS,GS,GS,R16,QF,NP,GS,NP,NP,NP
 Paris Saint-Germain (9),NP,NP,SF,NP,NP,GS,NP,NP,GS2,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,QF,QF,QF,QF,R16
 Monaco (7),NP,SF,NP,NP,NP,SF,NP,NP,GS,NP,NP,F,R16,NP,NP,NP,NP,NP,NP,NP,NP,NP,QF,NP,TDB
 Lille (5),NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,GS,R16,NP,NP,NP,NP,GS,GS,NP,NP,NP,NP
 Bordeaux (4),NP,NP,NP,NP,NP,NP,NP,GS2,NP,NP,NP,NP,NP,NP,GS,NP,GS,QF,NP,NP,NP,NP,NP,NP,NP
 Auxerre (3),NP,NP,NP,NP,QF,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP
 Nantes (2),NP,NP,NP,SF,NP,NP,NP,NP,NP,GS2,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Lens (2),NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Montpellier (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP
 PORTUGAL (44),(1),(1),(1),(1),(1),(2),(2),(2),(1),(2),(0),(1),(1),(2),(3),(3),(2),(1),(2),(2),(3),(2),(3),(2),(3)
 Porto (21),GS,SF,NP,GS,QF,GS,GS,QF,NP,GS2,NP,C,R16,GS,R16,R16,QF,R16,NP,GS,R16,GS,QF,GS,R16
 Benfica (12),NP,NP,QF,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,QF,GS,GS,NP,NP,GS,QF,GS,GS,GS,QF,R16
 Sporting CP (7),NP,NP,NP,NP,NP,GS,NP,NP,GS,NP,NP,NP,NP,NP,GS,GS,R16,NP,NP,NP,NP,NP,GS,NP,GS
 Boavista (2),NP,NP,NP,NP,NP,NP,NP,GS,NP,GS2,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Braga (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,GS,NP,NP,NP,NP
 NETHERLANDS (36),(1),(0),(1),(1),(1),(2),(2),(3),(2),(2),(3),(2),(2),(2),(1),(1),(1),(1),(2),(1),(1),(1),(1),(1),(1)
 PSV Eindhoven (15),GS,NP,NP,NP,NP,GS,GS,GS,GS,GS,GS,GS,SF,R16,QF,GS,GS,NP,NP,NP,NP,NP,NP,R16,GS
 Ajax (13),NP,NP,C,F,SF,NP,GS,NP,NP,NP,QF,GS,GS,R16,NP,NP,NP,NP,GS,GS,GS,GS,GS,NP,NP
 Feyenoord (4),NP,NP,NP,NP,NP,GS,NP,GS2,NP,GS,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Willem II (1),NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Heerenveen (1),NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 AZ (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP
 Twente (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP
 RUSSIA (33),(1),(1),(1),(1),(0),(0),(1),(1),(1),(2),(2),(1),(1),(0),(2),(1),(1),(2),(2),(2),(2),(2),(2),(2),(2)
 Spartak Moscow (11),NP,GS,GS,QF,NP,NP,GS,GS,GS2,GS,GS,NP,NP,NP,GS,NP,NP,NP,GS,NP,GS,NP,NP,NP,NP
 CSKA Moscow (10),GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,GS,GS,NP,QF,NP,R16,NP,GS,GS,GS,GS
 Zenit Saint Petersburg (6),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,R16,GS,R16,GS,R16,NP
 Lokomotiv Moscow (3),NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS2,R16,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Rubin Kazan (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS,NP,NP,NP,NP,NP,NP
 Rostov (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS
 GREECE (30),(0),(0),(1),(1),(0),(1),(2),(1),(2),(2),(2),(3),(2),(2),(2),(1),(1),(1),(1),(1),(1),(1),(1),(1),(0)
 Olympiacos (17),NP,NP,NP,NP,NP,GS,QF,GS,GS,GS,GS,GS,GS,GS,GS,R16,NP,R16,NP,GS,GS,R16,GS,GS,NP
 Panathinaikos (9),NP,NP,NP,SF,NP,NP,GS,NP,GS2,QF,NP,GS,GS,GS,NP,NP,R16,NP,GS,NP,NP,NP,NP,NP,NP
 AEK Athens (4),NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,GS,GS,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 TURKEY (28),(0),(1),(1),(0),(1),(2),(1),(1),(2),(2),(1),(2),(1),(1),(1),(2),(1),(1),(1),(1),(1),(1),(1),(1),(1)
 Galatasaray (14),NP,GS,GS,NP,NP,GS,GS,GS,QF,GS2,GS,GS,NP,NP,GS,NP,NP,NP,NP,NP,QF,R16,GS,GS,NP
